MaTruong,TenTruong,DiaChi,Website,TinhThanh,DVChuQuan
TTB,Trường Đại học Tây Bắc,"Phường Quyết Tâm, TP Sơn La, Sơn La",www.utb.edu.vn,Sơn La,Bộ Giáo Dục Và Đào Tạo
TTG,Trường Đại học Tiền Giang,"Số 119 đường Ấp Bắc, Phường 5, Thành phố Mỹ Tho, Tiền Giang",www.tgu.edu.vn,Tiền Giang,UBND Tỉnh Tiền Giang
TTN,Trường Đại học Tây Nguyên,"567 Lê Duẩn, Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk ",ttn.edu.vn,Đắk Lắk,Bộ Giáo Dục Và Đào Tạo
TTQ,Trường Đại học Tư thục Quốc tế Sài Gòn,"8C & 16 Tống Hữu Định, Phường Thảo Điền, Quận 2, Tp.HCM",www.siu.edu.vn,Tp.HCM,Bộ Giáo Dục Và Đào Tạo
TTU,Trường Đại học Tân Tạo,"Đại lộ Đại học Tân Tạo, Tân Đức E. City, Huyện Đức Hòa,  Long An",ttu.edu.vn,Long An,Bộ Giáo Dục Và Đào Tạo
UKB,Trường Đại học Kinh Bắc,"Phố Phúc Sơn, Phường Vũ Ninh, Bắc Ninh",www.daihockinhbac.edu.vn,Bắc Ninh,Bộ Giáo Dục Và Đào Tạo
VGU,Trường Đại học Việt Đức,"Đường Lê Lai, Phường Hòa Phú, Thành phố Thủ Dầu Một,  Bình Dương",www.vgu.edu.vn,Bình Dương,Bộ Giáo Dục Và Đào Tạo
VHD,Trường Đại học Công nghiệp Việt - Hung,"Số 16, phố Hữu Nghị, phường Xuân Khanh, Sơn Tây, Hà Nội",viu.edu.vn,Hà Nội,Bộ Công Thương
VLU,Trường Đại học Sư phạm Kỹ thuật Vĩnh Long,"Số 73 Nguyễn Huệ, Phường 2, Vĩnh Long",www.vlute.edu.vn,Vĩnh Long,Bộ Lao Động Thương Binh Và Xã Hội
VUI,Trường Đại học Công nghiệp Việt Trì,"Số 9, đường Tiên Sơn, phường Tiên Cát, thành phố Việt Trì, Phú Thọ",vui.edu.vn,Phú Thọ,Bộ Công Thương
XDA,Trường Đại học Xây dựng,"Số 55 đường Giải Phóng, Quận Hai Bà Trưng, Hà Nội",tuyensinh.nuce.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
ZPH,Trường Đại học Trần Đại Nghĩa (hệ dân sự),"189 Nguyễn Oanh, Phường 10, Q. Gò Vấp, TP. Hồ Chí Minh",www.tdnu.edu.vn,TP. Hồ Chí Minh,Bộ Quốc Phòng
BKA  ,TRƯỜNG ĐẠI HỌC BÁCH KHOA HÀ NỘI,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",www.hust.edu.vn,Hà Nội,Bộ Giáo dục và Đào tạo
DCQ,Trường Đại học Công nghệ và Quản lý Hữu Nghị,"Lô 1-4, Số 431 Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",utm.edu.vn,Hà Nội,Bộ Giáo dục và Đào tạo
DDQ,TRƯỜNG ĐẠI HỌC KINH TẾ – ĐẠI HỌC ĐÀ NẴNG,"72, Ngũ Hành Sơn, TP. Đà Nẵng",http://www.due.udn.vn,Đà Năng,Bộ Giáo dục và Đào tạo
DFA,Trường Đại học Tài chính - Quản trị kinh doanh,Cơ sở 1: Trưng Trắc – Văn Lâm – Hưng Yên,www.tcqtkd.edu.vn,Hưng Yên,Bộ Tài chính
DHK,TRƯỜNG ĐẠI HỌC KINH TẾ - ĐH HUẾ,"Nhà C, số 99 Hồ Đắc Di, Phường An Cựu, Thành phố Huế",www.hce.edu.vn,Huế,Đại học Huế
DMS,TRƯỜNG ĐẠI HỌC TÀI CHÍNH – MARKETING,"Số 2/4 Trần Xuân Soạn, phường Tân Thuận Tây, quận 7, Tp.HCM",www.ufm.edu.vn,TP. Hồ Chí Minh,Bộ Tài chính
DMT,TRƯỜNG ĐẠI HỌC TÀI NGUYÊN VÀ MÔI TRƯỜNG HÀ NỘI,"Số 41A đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",www.hunre.edu.vn,Hà Nội,Bộ Tài nguyên và Môi trường
DTZ,TRƯỜNG ĐẠI HỌC KHOA HỌC,Phường Tân Thịnh - TP. Thái Nguyên - Thái Nguyên,http://us.tnu.edu.vn,Thái Nguyên,Đại học Thái Nguyên
GHA,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI – CS PHÍA BẮC,Số 3 Phố Cầu Giấy - Phường Láng Thượng - Quận Đống Đa - Thành phố Hà Nội,http://www.utc.edu.vn,Hà Nội,Bộ Giáo dục và Đào tạo
GSA,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI – CS PHÍA NAM,"Số 450 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh",http://www.utc2.edu.vn,TP. Hồ Chí Minh,Bộ Giáo dục và Đào tạo
HBT,HỌC VIỆN BÁO CHÍ VÀ TUYÊN TRUYỀN,"Số 36 Xuân Thủy, Cầu Giấy, Hà Nội ",www.ajc.edu.vn,Hà Nội,Học viện Chính trị Quốc gia Hồ Chí Minh
HBU,TRƯỜNG ĐẠI HỌC QUỐC TẾ HỒNG BÀNG,"Số 03 Hoàng Việt, Phường 04, Quận Tân Bình, Tp.Hồ Chí Minh",hbu.com,TP. Hồ Chí Minh,Bộ Giáo dục và Đào tạo
HPN,HỌC VIỆN PHỤ NỮ VIỆT NAM,"Số 68, Đường Nguyễn Chí Thanh, Q. Đống Đa, Hà Nội",hvpnvn.edu.vn,Hà Nội,Trung ương Hội LHPN Việt Nam
HTC,HỌC VIỆN TÀI CHÍNH,"Số 1 Lê Văn Hiến, P. Đức Thắng, Q. Bắc Từ Liêm, TP. Hà Nội",www.hvtc.edu.vn,Hà Nội,Bộ Tài chính
NHH,Học viện Ngân hàng,"Số 12 đường Chùa Bộc, phường Quang Trung, quận Đống Đa, thành phố Hà Nội",http://hvnh.edu.vn,Hà Nội,Ngân hàng Nhà nước Việt Nam
NHS,TRƯỜNG ĐẠI HỌC NGÂN HÀNG TP. HỒ CHÍ MINH,"Số 36 Tôn Thất Đạm, P. Nguyễn Thái Bình, Q.1, Tp.HCM",www.buh.edu.vn,TP. Hồ Chí Minh,Ngân hàng Nhà nước Việt Nam
QSK,Trường Đại học Kinh tế - Luật (ĐHQG TP.HCM),"Khu phố 3, Phường Linh Xuân, Quận Thủ Đức, Thành Phố Hồ Chí Minh",http://www.uel.edu.vn,TP. Hồ Chí Minh,Đại học Quốc Gia TP. HCM
TMA,TRƯỜNG ĐẠI HỌC THƯƠNG MẠI,"80 Đường Hồ Tùng Mậu, phường Mai Dịch, quận Cầu Giấy, Tp.Hà Nội",www.tmu.edu.vn,Hà Nội,Bộ Giáo dục và Đào tạo
NTU,TRƯỜNG ĐẠI HỌC NGUYỄN TRÃI,"Cơ sở 1: 266 Đội Cấn, Ba Đình, Hà Nội",daihocnguyentrai.edu.vn,Hà Nội,Bộ Giáo dục và Đào tạo
